OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length,Shape_Area
87,HOSFORD-ABERNETHY NEIGHBORHOOD DISTRICT ASSN., , ,SEUL,HORZ,Hosford-Abernethy Neighborhood District Assn.,43,11842.6825925611,6824886.3174008
88,RICHMOND, , ,SEUL,HORZ,Richmond,73,10856.3989181842,6739260.42861934
89,FOREST PARK, , ,NWNW,HORZ,Forest Park,29,89155.8682580433,95515327.4476797
90,HILLSIDE, , ,NWNW,HORZ,Hillside,40,10812.9717460599,3720459.18552442
91,NORTHWEST DISTRICT ASSOCIATION, , ,NWNW,HORZ,Northwest District Association,62,17488.0309363154,8225181.22415655
92,ST. JOHNS, , ,NPNS,HORZ,St. Johns,81,32608.8410272095,58544790.1105687
93,KENTON,ALBINA, ,NPNS,HORZ,Kenton,46,19247.1882250319,18226592.2374303
94,SUNDERLAND ASSOCIATION OF NEIGHBORS, , ,CNN,HORZ,Sunderland Association of Neighbors,85,20706.4969160766,9322957.92068746
95,PORTSMOUTH, , ,NPNS,HORZ,Portsmouth,18,10003.7955651372,5722844.45000862
96,HAYDEN ISLAND NEIGHBORHOOD NETWORK, , ,NPNS,HORZ,Hayden Island Neighborhood Network,35,27375.2157780404,15792580.4203561
97,BRIDGETON, , ,NPNS,HORZ,Bridgeton,11,8635.72066234588,1433718.75168805
98,EAST COLUMBIA, , ,NPNS,HORZ,East Columbia,25,15397.2691312464,12058728.2129528
