Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2019 (#),Condo sales (%),1-year median price change (2018–2019) (%),5-year median price change (2015–2019) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Assault,Homicide,Sexual offenses,Arson,Burglary,Larceny,Vehicle thefts,Robbery,Vandalism (not included in violent/nonviolent total),Drug/narcotic offenses (not included in violent/nonviolent total),Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),"Commute by transit, biking, and walking (%)",Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),Walk score
2020,SOUTH PORTLAND,"519,034","457,750",316,45,188,59,-4,18,0,1979,"10,536","6,187",38,"82,675",35.5,38.9,13.4,5.6,0.4,41.6,37.2,35.2,"1,589",9.9,3.7,84.7,9.5,68.9,7,7.2,1.8,31.1,79,0,5,2,48,335,54,4,111,12,437,90,50,69,6,11,17.7,4.8,11.9,34.3,5,22,27,68
2020,SOUTH TABOR,"460,037","450,000",235,28,99,6,-1,27,0,1954,"6,778","8,480",38,"68,390",61.2,45.3,13.9,2.2,1.4,37.3,31.3,18.8,"1,204",10,5.2,82.6,24.1,83.4,1.9,3.1,0.8,16.6,75,0,4,3,67,280,57,9,56,17,404,91,73,12,2,19,14.2,10.1,1.8,26.1,0,4,4,74
2020,SOUTHWEST HILLS*,"872,075","784,125",274,76,152,18,-1,17,1,1949,"7,750","3,198",45,"129,809",60.6,59.8,8.8,4.8,0.8,25.7,37.2,41.6,"1,665",7.6,4.4,87.7,27.5,85,3.7,4.2,0.7,15,21,0,3,0,21,79,19,2,29,2,119,26,19,168,14,11,8.3,2.5,13.6,24.4,2,5,7,30
2020,ST. JOHNS,"365,840","365,500",247,28,280,7,2,38,1,1945,"13,850","1,258",40,"66,218",57.1,41.2,11.4,3.1,2.9,41.5,24.5,11,"1,445",11.7,4.8,72.2,24.6,83.1,1.3,2.1,0.7,16.9,187,2,10,3,72,396,177,23,178,5,645,225,63,"2,180",31,20,8,3,1.8,12.8,0,5,5,77
2020,SULLIVAN’S GULCH,"410,850","359,750",329,55,32,84,-16,3,0,1970,"3,259","10,215",40,"61,689",33.1,36.8,11.8,2.2,1.6,47.7,44.5,25.1,"1,208",10.1,3,91.5,11.8,73.2,1.8,6.3,1.1,26.8,44,0,1,3,34,184,73,12,35,4,291,60,108,5,2,13,16.7,10.5,8.6,35.7,3,4,7,90
2020,SUMNER,"300,249","307,100",226,37,36,0,-6,41,1,1942,"2,385","3,015",37,"48,473",71.5,30.9,18.4,2.9,3,44.9,9.7,6.5,"1,031",20.4,5.4,68.2,28.9,70.2,15.4,4,0,29.8,52,1,3,3,17,69,25,10,20,7,111,69,75,16,3,19,10.5,0.7,2.1,13.3,1,5,6,60
2020,SUNDERLAND,"40,000","40,000",100,61,1,0,60,-82,0,1965,292,157,41,"52,482",61.8,24,19.7,2.6,4.5,49.2,11.1,5.5,"1,060",22.8,5.2,71.5,23,61,21,3.9,0.3,39,21,0,0,0,16,51,22,1,21,5,89,22,380,57,5,17,9.1,1.6,5.9,16.7,0,3,3,10
2020,SUNNYSIDE,"534,886","525,000",264,40,99,26,12,14,8,1932,"7,879","13,185",36,"75,620",41.1,36.8,11.3,3,0.5,48.4,38.9,25.8,"1,258",10.9,3.1,91.3,20.7,75.8,2.9,6.8,0.5,24.2,68,0,4,2,53,298,94,9,82,7,445,83,67,2,0,13,13.3,15.3,6.4,35,0,4,4,91
2020,SYLVAN-HIGHLANDS*,"703,798","759,000",263,55,32,13,17,39,0,1970,"1,494","1,601",47,"151,463",86.7,65.5,10.8,4.2,0.4,19,37.1,36.3,"1,945",3.1,2.3,89.2,31.9,88.2,5,3.9,0.1,11.8,5,0,0,2,8,32,4,0,8,1,44,7,34,70,15,14,3,1.1,5,9.1,2,3,5,18
2020,UNIVERSITY PARK,"463,276","455,000",235,31,85,2,-2,23,0,1952,"6,915","5,235",23,"69,333",62.9,25.3,8.8,2.5,0.5,59.8,27.1,25.1,"1,442",23.3,9.7,88.4,26.4,67.4,4.2,11.4,2,32.6,25,0,1,0,22,161,40,8,41,3,223,34,37,26,3,17,5.8,6.3,17.7,29.8,0,3,3,53
2020,VERNON,"528,888","502,695",260,45,42,10,-7,22,0,1945,"2,849","9,191",36,"92,546",66.8,40.4,10.2,1.5,1.2,46.8,36.4,26.5,"1,407",11,5.4,92.7,29.3,84,1.6,5.2,1.1,16,32,0,3,0,11,65,31,3,19,1,107,38,51,17,9,16,11.3,13.7,3.1,28,0,2,2,88
2020,WEST PORTLAND PARK,"423,033","442,750",221,48,72,19,0,33,1,1982,"4,040","5,537",35,"65,487",53.2,49.5,16.9,3.2,1.7,28.7,32.9,18,"1,271",16.2,3.1,78,30.7,81.7,6.2,3.1,3.7,18.3,37,0,2,0,17,58,29,2,19,2,104,41,36,39,8,14,11.1,0.7,1,12.8,0,7,7,57
2020,WILKES,"332,825","336,835",195,40,187,22,2,32,0,1981,"9,278","3,010",42,"59,202",62.3,51.3,13,6.5,3.1,26.1,15.9,8.4,"1,179",11.6,5.9,73.9,30.8,90,1.7,2.3,0.3,10,91,0,7,2,38,158,87,5,54,5,283,105,42,200,10,23,7.7,2.2,1.5,11.4,0,6,6,31
2020,WOODLAND PARK,"319,167","330,000",192,71,3,0,0,35,0,1945,277,"5,777",39,"57,766",46.9,38.4,10,7.5,1.4,42.6,18.9,9.6,"1,130",15.2,5.1,80.5,20.1,77,5.3,8.1,0.8,23,10,0,0,0,1,4,2,1,9,1,7,11,65,0,0,15,7.7,1.3,5.8,14.9,0,5,5,67
2020,WOODLAWN,"493,218","470,000",261,29,99,4,7,33,2,1953,"5,905","8,062",35,"84,483",68.6,36.1,11.3,2,1.7,49,34.7,20.7,"1,429",12.5,5.6,90.4,26.7,82.7,1.8,4.8,1.9,17.3,34,0,3,2,32,90,63,4,22,1,185,43,39,8,2,15,11,12.7,3.7,27.4,0,4,4,74
2020,WOODSTOCK,"465,149","440,950",256,32,172,0,-6,13,0,1953,"8,784","7,045",38,"85,890",72.9,51.3,9.9,4.3,1.1,33.5,31.5,24.5,"1,551",7.2,3.7,89.8,30.3,84.5,2.8,4.1,1.1,15.5,44,0,3,3,49,228,61,5,50,4,338,55,45,14,2,18,12.6,7.1,3.5,23.1,0,5,5,74
