Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2019 (#),Condo sales (%),1-year median price change (2018–2019) (%),5-year median price change (2015–2019) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Assault,Homicide,Sexual offenses,Arson,Burglary,Larceny,Vehicle thefts,Robbery,Vandalism (not included in violent/nonviolent total),Drug/narcotic offenses (not included in violent/nonviolent total),Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),"Commute by transit, biking, and walking (%)",Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),Walk score
2020,HILLSIDE,"906,374","800,000",367,52,70,44,5,24,0,1972,"1,261","1,813",49,"131,291",72.9,61.7,11.9,4.3,0.2,22,36.9,44,"1,351",3.6,3.5,83.4,24.3,91.6,1.4,2.4,1.4,8.4,7,0,0,0,12,38,6,0,11,2,56,7,50,127,29,14,7.1,5,10.7,22.8,0,2,2,48
2020,HOLLYWOOD,"548,300","484,200",273,21,18,39,-26,6,0,1941,"2,244","9,479",42,"64,089",40.1,38.1,16.3,3.2,1.1,41.4,34.7,25.7,"1,124",16.5,4.9,91.2,22.3,83.8,1.7,4.8,0.1,16.2,47,0,0,1,33,238,59,12,47,10,330,60,174,0,0,12,17.5,6.3,5.9,29.7,3,4,7,94
2020,HOMESTEAD,"505,133","517,041",244,41,22,27,-2,73,5,1949,"2,235","2,751",43,"104,369",59,53.1,7.8,4.3,1.5,33.4,38.7,42.7,"1,346",9.4,5.2,88.1,19.1,78.5,3,6.2,0.7,21.5,29,0,3,2,8,95,7,0,20,13,110,34,64,246,47,13,8.2,3.9,13.3,25.3,1,16,17,46
2020,HOSFORD-ABERNETHY,"609,591","620,000",267,35,104,15,3,32,0,1946,"8,887","6,832",36,"75,199",48.2,35.6,10.4,2.4,1.8,49.8,36.6,25.7,"1,205",12.9,5.4,90,19.2,76.9,3.9,8.2,1,23.1,106,0,7,2,76,471,97,16,117,17,644,131,87,3,0,10,14.1,13.3,7.3,34.7,3,11,14,91
2020,HUMBOLDT,"526,688","516,750",245,47,86,22,1,24,1,1956,"4,901","8,912",35,"79,407",53.9,34.1,11.4,1.7,1.4,51.4,39,22.3,"1,248",15,3.6,88.2,24.4,77.2,1.9,5.2,0.1,22.8,79,0,7,2,46,186,70,7,56,2,302,95,81,0,0,12,18.1,13.5,3.6,35.1,0,3,3,89
2020,IRVINGTON,"691,144","650,000",250,45,85,21,-9,-1,0,1930,"5,886","9,046",43,"98,793",54.5,47.7,12.2,2.8,1.6,35.7,36.6,34.1,"1,530",7.2,3.4,91.9,24.4,79.4,1.6,6.5,0.8,20.6,37,1,3,2,43,152,75,14,45,4,270,57,56,16,4,14,13.1,11.4,7.8,32.2,0,5,5,83
2020,KENTON,"412,126","399,500",254,27,180,1,-1,30,1,1963,"7,927","2,308",41,"67,286",68.4,40.6,11.8,3.3,2.7,41.5,24.5,11.5,"1,550",11,3.3,72,23.5,83.6,1.4,1.6,0.6,16.4,115,0,6,1,55,270,125,11,85,10,450,133,74,121,6,17,14.2,6.3,1.8,22.4,1,5,6,78
2020,KERNS,"504,395","483,500",282,22,56,38,-8,12,0,1946,"6,581","7,962",34,"52,629",20.9,29.4,11.3,1.9,2.2,55.2,41.8,19.2,"1,184",14.5,3.4,89.6,13.4,74,4.7,4.4,0.1,26,90,1,9,3,83,380,112,4,107,15,575,107,104,18,3,12,19.3,13,9.1,41.4,6,10,16,93
2020,KING,"555,690","547,500",267,44,82,9,11,35,0,1953,"6,728","10,853",35,"68,686",47.3,35.5,9.1,1.8,1.5,52.1,35,23,"1,157",18,6.3,88.1,24.4,79.7,2.6,5.1,0.4,20.3,105,1,4,4,49,181,68,5,71,4,298,119,62,3,1,15,16.8,16.1,4.5,37.4,0,3,3,89
2020,LAURELHURST,"764,081","725,500",246,30,90,0,-1,10,0,1925,"4,985","7,464",43,"119,947",76.3,56.3,10.3,5.7,0.9,26.8,38.6,36.5,"1,237",4.2,2.6,95,38.4,90.5,0.5,3.4,0,9.5,26,0,2,3,29,91,34,1,20,2,154,32,37,34,8,12,12.8,8.9,6.8,28.5,3,5,8,81
2020,LENTS,"327,490","320,000",222,36,275,3,0,45,1,1958,"21,817","5,912",36,"52,884",53.9,42,12.8,3.8,1.6,39.8,18.2,6.1,"1,165",19,6.2,65.6,34.2,83.3,2.5,3.2,1.2,16.7,380,4,24,14,151,786,275,31,217,91,"1,212",453,76,215,9,20,12.7,2.4,1.1,16.2,1,7,8,60
2020,LINNTON*,"435,290","437,000",211,70,18,33,16,14,6,1955,179,82,48,"97,528",82.5,57.5,16.9,3.8,0.8,21.1,32.1,23.3,"1,259",8.6,4.9,97.8,26.2,87.2,3.9,3.5,0,12.8,7,0,0,0,8,71,2,0,7,2,81,7,491,41,4,19,0.2,0.7,0,0.9,0,1,1,17
2020,LLOYD DISTRICT,"224,833","224,000",336,45,3,100,8,24,0,1953,"2,258","4,410",38,"49,098",18.6,18,16.2,7.2,1.8,56.8,38.2,18.1,"1,290",20.1,8.7,92.9,5.6,68.2,5.1,10,0.5,31.8,226,0,15,7,55,819,127,50,122,45,"1,001",298,575,2,1,11,21.5,11.8,12.7,46,6,9,15,91
2020,MADISON SOUTH,"371,895","362,000",220,35,100,8,-1,39,0,1954,"9,354","5,323",36,"58,580",64.5,39.5,13.6,4.8,3.4,38.7,24.8,10.4,"1,245",15.3,8.3,84.8,25.2,84.3,1.8,2.9,0.4,15.7,140,0,4,3,67,211,77,20,83,32,355,167,56,133,12,15,11.3,3.8,1.6,16.7,3,7,10,56
2020,MAPLEWOOD,"512,752","535,000",244,44,63,11,3,27,2,1973,"2,657","4,289",47,"109,936",79.7,62.3,14.9,5,0.2,17.6,37.3,33.3,"1,990",3.4,3.9,93.5,25.2,86.6,5.3,2.5,0.3,13.4,10,0,1,0,1,31,5,0,8,0,37,11,18,10,3,17,1.6,2.1,0.1,3.8,0,1,1,34
2020,MARKHAM,"468,789","440,000",232,41,41,2,-4,21,0,1974,"1,827","3,519",41,"122,382",83,60.3,11,2.9,0.8,25,39.9,32.8,"1,754",5.7,3.4,91.9,33.5,83.1,3.3,1.9,3.4,16.9,8,0,0,0,4,15,5,0,8,0,24,8,18,9,3,14,6.6,4,0.9,11.6,0,4,4,41
2020,MARSHALL PARK,"597,532","552,500",230,30,32,0,-6,13,0,1968,"1,412","2,313",38,"136,571",90.9,59.3,7.6,2.5,0.8,29.8,38.6,36.3,"1,762",6.8,4.7,90.9,35.1,82.4,5.2,4.2,0.9,17.6,0,0,1,0,1,8,3,0,1,0,12,1,9,65,17,15,5.1,2.1,2.9,10.2,0,4,4,27
2020,MILL PARK,"308,785","308,500",196,30,113,20,-1,34,0,1967,"8,898","8,794",34,"42,654",40.3,38.7,11.6,5.1,2,42.6,14.7,6.2,"1,102",22.4,8,55.6,31.8,81.6,2.5,2,2.5,18.4,184,1,7,0,53,250,93,12,81,16,396,204,67,15,2,21,15.1,1.5,0.6,17.1,0,4,4,70
2020,MONTAVILLA,"382,703","380,000",236,30,266,6,3,37,0,1954,"16,763","7,694",38,"58,566",59.1,41.7,13,5.7,1.7,37.9,27,12.9,"1,155",16.9,6.4,79.3,25,82.2,1.6,4.4,0.2,17.8,225,1,22,6,142,502,231,30,191,40,875,284,69,20,1,16,14.3,5,3.2,22.4,3,7,10,75
2020,MT SCOTT-ARLETA,"392,592","379,000",243,35,137,0,-2,28,0,1947,"8,054","9,323",37,"60,167",59.6,39.9,12.8,4.7,1.6,41,24.1,13.6,"1,231",14,4.1,80.8,27.6,81.4,3,3.7,0.9,18.6,95,0,3,3,37,202,54,8,52,6,293,109,50,11,2,21,12.9,3.7,1.8,18.4,0,5,5,79
2020,MT TABOR,"593,461","560,000",257,27,143,8,-7,9,1,1948,"11,609","7,263",42,"79,073",60.9,46.2,12.7,5.5,0.8,34.9,31.5,24.6,"1,246",9.4,5.1,88,24.9,86,1.8,4.6,0.6,14,60,0,2,1,51,252,94,2,62,3,397,65,40,178,17,19,9.5,9,3.5,22.1,0,6,6,69
2020,MULTNOMAH,"470,575","446,625",258,33,148,28,4,25,0,1973,"8,740","6,056",34,"73,090",53.9,40.2,12.1,2,0.5,45.2,35.9,28.8,"1,175",12,6.2,87.1,24.8,73.3,9.1,6.3,1,26.7,56,1,4,2,27,134,41,4,35,0,202,67,31,104,11,12,13.5,0.5,1.7,15.7,0,10,10,68
2020,NORTH TABOR,"487,715","482,000",251,39,74,9,5,24,0,1954,"5,717","9,766",39,"64,822",43.1,37.8,12.1,2.5,1.4,46.2,33,21.1,"1,058",10.9,3.5,89.1,20.9,81.5,3.1,4.4,0.5,18.5,75,0,8,0,37,188,103,4,40,3,328,87,73,2,1,13,18.1,8.3,4.7,31,3,4,7,76
2020,NORTHWEST DISTRICT,"535,282","440,000",363,62,185,77,8,10,1,1951,"16,647","11,377",37,"80,295",24.2,36.2,15.3,1.9,0.9,45.2,38.9,35.1,"1,329",8,2.5,88.1,13.8,71,5.6,5.1,1.5,29,215,1,20,5,169,982,137,17,229,43,"1,288",258,93,17,2,10,14.6,6.6,19.1,40.3,1,5,6,93
2020,NORTHWEST HEIGHTS,"682,624","655,000",227,52,145,20,-1,15,1,2000,"1,146",836,45,"151,191",76.9,65.9,10.5,2,0.1,21.5,34.8,41.9,"1,670",3.7,4,79.4,35.6,91.6,3.4,1.6,1.4,8.4,1,0,2,0,4,13,1,0,2,0,18,3,18,3,0,20,4.5,0.4,1.9,6.8,0,0,0,12
2020,OLD TOWN/ CHINATOWN,"278,751","254,000",345,74,29,100,-8,0,0,1987,"3,661","13,042",50,"38,595",22.8,24.6,22.4,3.5,3.4,46.1,36.1,19.7,936,24.5,6.1,87.6,2.1,63.6,5.8,7.2,3.5,36.4,539,1,20,19,39,370,53,50,147,269,462,629,298,12,7,3,20.5,4.2,21.5,46.2,7,17,24,97
2020,OVERLOOK,"502,275","472,000",265,32,133,25,-2,25,2,1952,"7,235","6,992",36,"81,847",53.5,38.7,11.3,2.1,1.5,46.4,39.9,18.8,"1,262",11.8,4.2,84.8,23,78.1,1.8,5.8,0.7,21.9,81,0,4,2,50,276,82,5,68,7,408,92,69,78,4,12,14.1,10,3.9,28,1,4,5,73
2020,PARKROSE,"325,364","327,000",195,34,76,4,-4,36,7,1952,"5,712","2,842",38,"48,491",53.1,25.9,18.5,3.9,4.3,47.4,12.9,5.6,884,23,6.8,75.5,26.1,66.4,17.3,4.4,0.2,33.6,176,1,12,12,56,316,165,16,91,34,537,217,132,3,0,18,11.7,1.2,2.9,15.9,1,6,7,54
2020,PARKROSE HEIGHTS,"343,950","345,900",223,40,95,0,8,41,1,1959,"5,806","5,962",39,"59,989",58.8,40.9,12,9.4,1.4,36.2,17.5,8.7,"1,035",12.7,5.2,76.8,27.2,82.3,3.1,5.2,0.6,17.7,51,1,3,1,39,79,56,4,25,7,174,60,40,14,2,16,6.6,0.9,4.6,12.1,0,6,6,56
2020,PEARL,"660,686","525,000",546,77,208,100,-10,13,1,1990,"6,192","13,899",46,"62,411",25,29.1,19.3,2.6,2,47,43.5,25.9,"1,273",15.8,4.7,88.2,3,61.2,5.4,9.2,4.6,38.8,169,1,16,7,84,998,45,39,174,76,"1,127",232,219,9,3,7,17.5,4.9,21.3,43.7,3,6,9,97
2020,PIEDMONT,"444,901","431,000",231,33,123,4,-5,16,1,1947,"7,778","8,071",38,"66,056",54.4,35,10.1,5.2,2.3,47.4,32.7,16.7,"1,173",14.8,4.8,83,24.2,85,2.2,3.3,0.3,15,68,0,4,2,68,194,97,8,47,7,359,82,57,30,5,13,11.5,10.5,3.3,25.3,0,4,4,72
