Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2016 (#),Condo sales (%),1-year median price change (2015-2016) (%),5-year median price change (2012-2016) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of families with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2017,PIEDMONT,"412,630","409,000",202,24,127,10,10,71,6,1944,"7,121","7,390",36,"52,871",58.9,36.9,11.3,5.7,1,45,32,18,981,17.3,8.9,86.7,45,82.3,4.4,2.2,0.2,X,X,X,X,X,X,X,X,X,X,X,30,5,19,15.2,7.3,2,9.3,0,4,4,5.5,5.7,67
2017,PLEASANT VALLEY,"351,444","370,000",155,37,191,2,13,47,7,1988,"11,230","1,761",38,"66,394",72.4,55.1,10.1,5,1.8,28,15.5,9.1,"1,223",14.4,7.5,67.8,52.2,86.2,3.8,2.7,0.4,X,X,X,X,X,X,X,X,X,X,X,"1,057",37,25,4.5,0.5,0.4,0.9,0,3,3,6.4,1,19
2017,PORTSMOUTH,"334,456","327,000",223,24,172,2,16,92,6,1964,"11,347","10,431",33,"45,293",50.1,33.3,12.2,4.5,4.1,45.8,17.4,7.8,909,32,14.8,66.2,52.3,77.1,5.3,5.6,0.6,X,X,X,X,X,X,X,X,X,X,X,63,9,18,15.4,5.2,1,6.2,0,3,3,8.6,7.9,51
2017,POWELLHURST-GILBERT,"246,252","245,000",158,34,367,13,15,69,10,1977,"24,595","7,162",35,"36,977",49.1,44.1,10.6,5.3,3.4,36.6,10.9,3.6,934,29.8,11.7,58.4,53.5,82.5,2.5,1.3,1.2,X,X,X,X,X,X,X,X,X,X,X,131,6,23,12,0.8,1.9,2.8,1,6,7,15.2,4.4,50
2017,REED,"504,523","485,950",237,15,50,0,18,51,0,1953,"2,912","6,311",31,"41,444",35.3,24.1,9.5,4.5,1.7,60.2,22.5,14.6,983,19.1,10.3,88.2,37.7,64,6.4,12.7,1.1,X,X,X,X,X,X,X,X,X,X,X,0,0,15,13.5,2.5,21.2,23.8,0,3,3,0.9,1.9,62
2017,RICHMOND,"551,090","516,225",252,19,204,8,10,54,1,1942,"12,024","9,455",37,"68,738",59.7,41.2,11.2,3.6,1.2,42.7,35.7,26.9,"1,090",11.2,5.9,88.7,44.3,81.6,2.5,4.3,0.7,X,X,X,X,X,X,X,X,X,X,X,4,1,14,14.1,13,3.9,16.9,0,6,6,4.4,3.4,85
2017,ROSE CITY PARK,"531,912","515,000",234,21,155,2,11,48,2,1926,"9,748","8,144",40,"71,976",67.2,45.7,14.3,3.1,0.9,36,33.4,25.4,"1,156",7.5,6.3,90.6,46.8,84.4,1.3,3.7,0.2,X,X,X,X,X,X,X,X,X,X,X,25,3,13,12.1,5.9,2,7.9,3,4,7,5.3,4.4,72
2017,ROSEWAY,"409,101","402,000",217,18,143,0,13,58,2,1944,"5,517","6,554",40,"57,261",66.9,43.9,14,3.7,2.2,36.2,28.2,17.2,"1,072",8.8,9,86.3,43.6,83.8,1.6,1.8,1,X,X,X,X,X,X,X,X,X,X,X,4,1,15,10.7,5.5,1.5,7,0,4,4,1.6,1.9,74
2017,RUSSELL,"305,906","300,000",178,20,53,0,14,53,2,1958,"3,968","4,968",47,"51,652",80.1,51.3,12.7,12.1,0.8,23,14.1,7.3,997,12.8,7,80,29.3,83.4,2.1,1.7,0.4,X,X,X,X,X,X,X,X,X,X,X,15,3,12,5.3,3,2.5,5.5,0,3,3,4.6,5.8,33
2017,SABIN,"552,826","535,000",241,14,77,1,-10,35,0,1924,"4,462","9,482",38,"85,718",70.6,42.1,10.8,2.7,1.6,42.9,36.2,30.9,"1,314",13.1,5.3,92.4,48.2,81.9,1.4,3.9,0.3,X,X,X,X,X,X,X,X,X,X,X,2,1,15,12.8,14.5,3.7,18.3,0,2,2,1.3,2.7,80
