Year,Neighborhood (*Boundaries for starred neighborhoods extend beyond city limits; only data within city limits calculated.),Median 2020 home sale price ($),Average Sale Price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2020 (#),Total Condo Sales,Share of 2020 sales that were condos (%),1-year median price change 2019–20 (%),5-year median price change 2015–20 (%),Average year built of homes sold,Number of Short Sales,Number of Bank Owned,% Distressed Sales,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Parks and natural areas (Acres),Minutes by car to downtown (est.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score,Commute by public transit (%),Commute by walking (%),Commute by other non-car means (including cycling) (%)
2021,EAST COLUMBIA,"385,000","373,008",215,42,24,0,0,15,43,1975,0,1,4.17,"1,731","1,590",525,234,44,"72,846",64,11,1,19,43.4,2.6,11.8,3.5,38.6,26.1,9.5,75.1,24.9,83.5,1.7,2.4,0.1,4.2,84,0,3,6,11,36,170,50,57,10,198,488,146,18,2,16,10.3,1.3,3.7
2021,EASTMORELAND,"788,000","816,275",281,38,107,2,2,4,19,1945,1,0,0.93,"2,904","1,688","6,940",6247,38,"114,468",72,7,5,34,54.1,4.3,8.8,1.4,31.4,33.4,33.8,89.4,10.6,80.6,2.8,6.6,0.6,10,6,0,4,1,1,7,61,13,16,2,2,12,17,16,5,53,7.5,6.2,8.2
2021,ELIOT,"540,000","575,420",274,52,66,24,36,6,18,1960,0,0,0,"2,101","1,324","4,647",5497,35,"63,538",22,18,5,9,23.4,4.1,15.1,1.5,55.7,37.6,23.3,90.5,9.5,66.6,4.6,9.7,0.6,14.9,157,2,12,7,18,108,527,88,161,11,42,156,8,11,10,87,21.2,8.3,17.3
2021,FAR SOUTHWEST,"545,000","572,333",230,44,35,0,0,18,29,1972,0,0,0,"2,491","1,657","2,199",3693,45,"87,189",69,9,4,19,51.8,4.9,14.3,0.2,28.9,36.6,25.3,91.1,8.9,80.4,7.3,4.7,0.3,12.3,10,0,1,0,0,3,15,3,0,1,5,10,12,16,6,39,7.8,3,1.4
2021,FOREST PARK*,"916,173","1,051,179",256,63,42,0,0,21,27,1992,0,0,0,"4,108","1,468","3,145",172,46,"143,707",83,5,3,32,62.5,2.7,10.3,0,24.5,33.7,38.5,83.6,16.4,89.2,3.4,3,1.1,7.5,8,0,1,0,0,9,70,3,17,0,3,26,"4,827",13,3,4,1.7,0.8,1.1
2021,FOSTER-POWELL,"429,000","440,156",265,21,159,4,3,7,51,1953,0,2,1.26,"1,658","1,365","8,791",9878,37,"68,668",60,18,3,30,35,5.3,16.8,1.5,41.5,27.7,16.5,79.8,20.2,84.2,2.4,2.1,1.9,6.4,96,0,2,5,15,69,202,82,115,16,13,40,7,19,6,85,17.2,3.2,6.7
2021,GLENFAIR,"339,900","337,666",200,25,27,9,33,1,53,1977,0,0,0,"1,689","1,108","3,271",10308,33,"48,195",36,27,8,41,31.8,5.1,15.8,3.1,44.1,14,7.3,64.7,35.3,85.5,1.1,4.3,0.7,6.1,131,0,2,12,6,19,69,46,50,2,46,41,5,22,2,61,11.5,3.7,3.6
2021,GOOSE HOLLOW,"328,500","409,732",323,59,94,81,86,-5,9,1971,0,1,1.06,"1,268","1,216","5,136",15143,38,"71,408",29,24,6,9,30.7,3.2,14.4,1,50.7,38.7,26.8,85,15,66.5,3.6,9.8,2.4,15.8,109,0,6,9,7,70,333,51,131,5,26,88,3,7,12,93,18.8,23.1,4.9
2021,GRANT PARK,"767,000","853,544",289,14,54,0,0,10,28,1928,0,0,0,"2,955","1,448","4,034",8839,43,"117,043",79,5,4,34,59.4,2.4,8.5,0.7,29.1,42.9,35.5,90.6,9.4,85.1,1.4,2.8,0.5,4.7,8,0,3,3,2,19,92,32,38,1,4,35,20,13,3,83,8.4,5.8,10.4
2021,HAYDEN ISLAND,"372,500","376,248",231,80,82,52,63,49,56,1956,0,3,3.66,"1,644","1,293","2,378",739,53,"87,684",72,8,1,11,40.4,3,29.4,2.3,24.9,18.2,14.8,92.5,7.5,84.9,2.3,4.3,0.3,6.9,53,0,3,5,11,29,399,98,51,4,30,221,2,22,1,23,5.4,4.7,4.7
2021,HAYHURST,"530,000","537,396",261,25,107,6,6,3,30,1963,0,1,0.93,"2,059","1,370","6,059",5391,39,"103,615",67,7,3,35,48.1,6.6,15.9,1.4,27.9,39.7,23.9,88.3,11.7,81.4,6.4,3.2,1.2,10.8,10,0,1,0,1,12,43,16,19,1,2,12,57,18,7,50,8.3,3.8,3.1
2021,HAZELWOOD,"349,250","342,233",214,29,274,42,15,9,55,1959,0,2,0.73,"1,599","1,120","25,518",6236,38,"53,590",48,18,5,27,37.1,6.8,12.9,2.8,40.2,18.5,8.5,65.9,34.1,81.6,2.9,2.3,1.7,6.9,665,5,35,22,76,207,1242,380,415,89,31,72,45,17,14,62,13.7,3.1,4.1
2021,HEALY HEIGHTS,"1,250,000","1,230,000",335,48,6,0,0,-28,95,1957,0,0,0,"3,675","1,222",192,3270,42,"103,309",55,12,6,21,56.8,6.1,7.5,1.1,28.4,34.3,46.2,83.6,16.4,85.4,1.9,4,0.9,6.8,0,0,0,0,0,1,1,0,2,0,0,10,1,16,1,7,5.6,18.1,3.7
2021,HILLSDALE,"605,000","634,927",254,48,119,11,9,5,21,1967,2,1,2.52,"2,504","1,279","8,229",4394,42,"105,061",67,8,4,28,52,4.4,13.1,0.8,29.8,38.1,34.5,88.5,11.5,83.5,3.6,4.7,0.7,9,34,0,2,4,8,37,135,29,46,1,6,24,68,14,16,57,10.5,4,5
2021,HILLSIDE,"870,000","987,815",361,59,75,28,37,9,35,1965,0,0,0,"2,734","1,394","1,306",1878,49,"161,987",82,4,2,25,64.3,3.9,8.2,0.1,23.6,35.1,45.7,83.5,16.5,91.5,1.6,2.8,1.5,5.9,2,0,1,0,0,7,32,4,6,0,2,33,127,14,2,48,5.4,8.6,5.2
2021,HOLLYWOOD,"589,000","657,888",299,39,21,6,29,22,29,1940,0,0,0,"2,198","1,201","2,251",9506,42,"65,906",45,17,5,21,37,2.5,19.4,0.6,40.5,37.7,27.5,89.7,10.3,83,1.9,6.5,0.1,8.4,73,0,1,4,9,42,167,51,69,2,39,116,0,12,7,94,17.4,5.8,5.2
2021,HOMESTEAD,"475,000","538,756",271,29,31,8,26,-8,59,1948,0,0,0,"1,991","1,390","2,210",2721,43,"104,289",57,10,4,20,51.5,4.4,9.7,1.4,32.9,36.9,42.1,87.2,12.8,78.8,2.7,6,0.6,9.2,17,0,5,1,1,18,102,11,16,0,11,59,246,13,17,46,7.6,13.9,4.7
2021,HOSFORD-ABERNETHY,"677,450","686,383",290,27,116,15,13,9,44,1941,0,0,0,"2,368","1,280","8,865",6815,37,"82,092",45,12,5,20,37.2,2,9.8,2.2,48.9,37.6,27.4,91.4,8.6,79.2,3.7,6.9,0.8,11.4,97,0,2,5,10,105,368,100,106,10,13,65,3,10,14,91,14,6.9,14.3
2021,HUMBOLDT,"549,250","561,255",261,43,68,11,16,6,31,1951,0,1,1.47,"2,152","1,356","5,302",9642,35,"81,145",54,15,4,28,36.2,1.8,12.3,1.4,48.2,35.7,23.5,88.3,11.7,79.7,1.3,6.6,0.5,8.4,77,0,1,3,7,43,165,79,77,1,17,54,0,12,3,89,17.7,3.8,15.3
2021,IRVINGTON,"785,000","799,011",276,35,83,15,18,21,19,1926,0,0,0,"2,895","1,559","5,988",9203,43,"101,630",61,7,3,24,46.6,3.9,11,1.3,37.1,37,34.2,90.3,9.7,79.9,1.8,5.5,0.4,7.8,49,0,3,1,2,42,189,53,85,4,9,47,16,14,5,83,13.4,7.8,12.9
2021,KENTON,"451,000","461,339",265,17,161,1,1,13,47,1960,0,2,1.24,"1,741","1,526","7,842",2283,42,"74,862",66,11,1,21,41.8,2.7,12.6,2.9,39.9,27.5,11.5,78.3,21.7,83.7,1.5,2.7,0.1,4.2,138,0,3,3,9,67,288,82,90,3,20,56,121,17,6,78,12,1.2,4.6
2021,KERNS,"557,500","553,975",284,32,48,20,42,15,30,1946,0,0,0,"1,950","1,248","6,923",8375,34,"54,309",17,14,3,11,29.4,1.6,11.6,2.6,54.7,44.9,19.2,88.5,11.5,74.9,3.6,5.9,0.1,9.6,93,3,5,8,7,124,452,123,147,9,17,101,18,12,16,93,20.7,13.3,13.5
2021,KING,"550,000","585,307",266,35,95,12,13,0,36,1947,0,2,2.11,"2,199","1,213","7,168",11563,34,"71,505",49,18,6,25,34.1,1.7,9.7,1.5,53.1,32.3,23.3,88.6,11.4,80,2.2,4.9,0.5,7.7,106,0,4,10,7,61,181,59,81,1,18,42,3,15,3,89,17.2,4.3,15.3
2021,LAURELHURST,"822,326","863,545",258,24,83,0,0,13,27,1924,0,0,0,"3,353","1,227","5,058",7572,43,"126,286",76,4,1,37,58.5,3.9,9.7,0.7,27.2,40.6,35.4,94.6,5.4,87.4,1.1,6,0,7.1,33,0,1,3,3,35,111,29,41,6,8,35,34,12,8,81,12.9,4.3,7.9
2021,LENTS,"345,000","360,031",234,27,299,9,3,8,57,1957,0,4,1.34,"1,540","1,255","21,641",5959,37,"55,666",53,18,6,33,40.9,4.7,12.2,2.1,40.1,18.4,6.8,68.6,31.4,83.7,3.1,2.8,1,6.9,327,1,21,4,35,166,648,287,247,52,18,51,215,20,8,60,12.2,1,2.8
2021,LINNTON*,"429,950","470,533",227,32,24,7,29,-2,13,1962,0,0,0,"2,074","1,012",135,62,48,"97,898",82,9,3,24,53.5,3,14.9,0.2,28.4,30.2,24,96.4,3.6,87.2,3.6,3.1,0,6.7,6,0,0,0,16,6,89,5,0,0,163,740,41,19,1,17,1.3,1.4,1.8
2021,LLOYD DISTRICT,"210,000","230,495",365,58,7,7,100,-6,16,1959,0,0,0,631,"1,370","2,372",4632,38,"55,835",13,18,7,5,21.2,6.8,15.2,1.3,55.5,39.5,19.8,90.5,9.5,65,6.5,11,0.3,17.8,201,0,11,3,42,46,482,74,190,17,108,254,2,11,15,91,24.9,10.7,15.1
2021,MADISON SOUTH,"390,000","383,110",232,25,100,14,14,8,50,1957,0,1,1,"1,650","1,261","9,349",5320,38,"60,540",64,11,8,24,41.9,5.5,14.9,2.7,35,26.4,11.7,82.8,17.2,84.7,1.5,2.2,0.5,4.2,140,0,9,4,27,45,177,115,85,17,19,36,133,15,10,56,12.2,2.7,3.4
2021,MAPLEWOOD,"514,000","489,022",268,26,51,5,10,-4,22,1971,1,0,1.96,"1,827","2,131","2,538",4175,48,"108,185",80,3,4,26,62.6,5.9,13.4,0.3,17.8,38.3,32,93.7,6.3,85.4,5.1,2.6,0.4,8.1,3,0,1,0,2,0,31,3,3,0,2,13,10,17,1,34,3.6,0,1
2021,MARKHAM,"524,000","527,298",252,32,50,0,0,19,45,1929,0,1,2,"2,095","1,624","1,815",3496,42,"129,547",86,5,3,34,62.3,2.5,12.1,0.4,22.6,42.1,34.3,92.3,7.7,86.3,1.7,1.6,2.4,5.7,8,0,0,0,1,3,26,2,4,0,5,17,9,14,4,41,4.5,0.7,4.3
2021,MARSHALL PARK,"575,000","605,975",260,34,26,0,0,4,18,1967,0,1,3.85,"2,329","1,529","1,378",2257,40,"140,628",90,6,2,36,63,2,7.9,0.4,26.6,40.5,37.4,90.9,9.1,85.6,2.9,3.9,0.8,7.6,0,0,0,0,0,2,7,2,1,0,0,8,65,15,4,27,4.9,4.5,2.8
2021,MILL PARK,"349,000","344,271",219,27,111,18,16,12,50,1968,1,2,2.7,"1,574","1,171","8,990",8884,34,"50,845",43,22,9,30,40.8,4.9,10.9,1.9,41.6,13.2,6.4,53.9,46.1,83.2,2.2,2.5,2.3,7,136,0,8,2,11,67,179,82,114,12,17,36,15,21,4,70,14.7,0.5,2.6
2021,MONTAVILLA,"410,000","412,283",262,24,277,22,8,8,47,1952,0,1,0.36,"1,574","1,197","16,604",7621,38,"62,700",60,14,6,24,41.3,5.1,13,1.4,39.3,27.9,14.6,77.9,22.1,82.8,1.5,5.1,0.2,6.9,188,3,14,6,28,206,484,234,232,34,14,56,20,16,10,75,15.8,2.6,6.2
2021,MT SCOTT ARLETA,"405,000","420,094",278,20,154,8,5,7,37,1951,0,0,0,"1,512","1,275","8,035",9301,36,"70,008",62,12,5,29,40.7,4.4,13.1,0.9,40.8,28.3,14.6,81.7,18.3,80.9,3,4.4,0.8,8.2,109,0,2,4,10,40,151,71,77,11,16,33,11,21,5,79,12.6,2.1,4.7
2021,MT TABOR,"603,000","630,435",266,24,172,7,4,8,17,1946,0,2,1.16,"2,370","1,272","11,883",7434,41,"81,267",61,10,5,25,44.3,5.4,12.3,0.8,37.2,32.4,23.3,88.7,11.3,86.7,1.6,4.9,0.6,7,31,0,0,1,6,74,289,95,60,2,3,39,178,19,6,69,9.7,4,9.2
2021,MULTNOMAH,"465,000","469,520",268,25,144,44,31,4,29,1971,0,2,1.39,"1,754","1,236","8,837",6124,36,"75,846",54,10,6,25,39.8,2.6,13.1,0.3,44.1,36.2,29.1,89,11,75.4,7.2,5.1,1,13.2,55,1,0,5,7,58,146,32,65,3,8,27,104,12,10,68,16,1.4,1.3
2021,NORTH TABOR,"495,000","517,764",255,31,65,6,9,3,27,1946,0,1,1.54,"2,031","1,115","5,764",9848,38,"68,449",41,13,4,18,34.8,2,12.5,0.8,49.9,31.2,18.9,85.7,14.3,80,2.8,4.4,0.3,7.5,83,0,6,2,5,41,225,85,66,3,17,61,2,13,7,76,16,5.6,9.1
