Year,Neighborhood (*Boundaries for starred neighborhoods extend beyond city limits; only data within city limits calculated.),Median 2020 home sale price ($),Average Sale Price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2020 (#),Total Condo Sales,Share of 2020 sales that were condos (%),1-year median price change 2019–20 (%),5-year median price change 2015–20 (%),Average year built of homes sold,Number of Short Sales,Number of Bank Owned,% Distressed Sales,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Parks and natural areas (Acres),Minutes by car to downtown (est.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score,Commute by public transit (%),Commute by walking (%),Commute by other non-car means (including cycling) (%)
2021,ROSE CITY PARK,"575,000","592,746",256,22,172,4,2,13,26,1929,0,0,0,"2,311","1,148","10,388",8678,42,"91,597",71,6,4,27,47,3.1,15.8,0.9,33.2,36.8,25,87.9,12.1,87.4,1.5,3.3,0.3,5.1,50,0,3,7,11,92,247,87,53,4,7,41,25,14,7,76,13.8,3.8,5.9
2021,ROSEWAY,"459,000","465,275",252,19,165,0,0,8,31,1940,0,0,0,"1,844","1,326","5,877",6980,40,"75,753",72,6,4,24,49.8,1.9,17.3,1.4,29.6,29.6,20.7,84.9,15.1,86.2,1.4,2.5,0.5,4.4,62,0,0,3,6,46,201,68,43,0,12,54,4,17,5,76,11.6,1.1,6.1
2021,RUSSELL,"400,000","394,745",194,22,74,0,0,9,55,1958,0,0,0,"2,036","1,261","3,706",4639,49,"65,144",85,11,7,22,52.3,11.9,12,0.7,23.1,19.6,8.7,81.9,18.1,86.8,1.6,3.1,0.3,5,36,3,1,1,5,13,103,51,34,6,12,45,15,19,2,36,4.8,0,2
2021,SABIN,"685,000","721,383",287,24,97,2,2,9,18,1933,0,0,0,"2,510","1,425","4,934",10483,39,"103,603",68,7,4,29,43.4,2.9,10.7,1,41.9,33.8,35,90.9,9.1,83.9,1.4,4.4,0.3,6.1,17,0,1,,0,16,101,47,17,0,4,33,2,16,2,83,10.6,5,12.9
2021,SELLWOOD MORELAND IMPROVEMENT LEAGUE,"560,000","604,966",289,38,203,34,17,10,24,1952,1,0,0.49,"2,090","1,146","8,760",4334,42,"82,793",56,10,5,26,49.9,4.2,16.2,1.3,28.4,36.5,27.2,91.6,8.4,81.3,6.7,5.7,0.7,13,70,0,9,1,10,69,346,66,81,6,10,55,312,15,6,81,9.5,5.7,9.7
2021,SOUTH BURLINGAME,"572,500","580,889",249,51,53,1,2,15,36,1967,0,0,0,"2,329","1,765","1,985",4670,41,"111,195",78,5,4,29,53.6,3,15.4,0.4,27.6,41.8,31.6,92.3,7.7,83.7,1.7,1.4,4.5,7.6,5,1,0,0,0,3,29,7,0,0,3,20,13,11,8,62,5.7,1.7,6.6
2021,SOUTH PORTLAND,"462,000","538,089",313,62,198,107,54,1,20,1977,0,3,1.52,"1,718","1,650","11,212",6584,38,"90,059",38,11,4,9,38.1,5.7,14.2,0.3,41.7,38.4,36.3,84.9,15.1,71,6.4,6.4,1,13.8,79,1,8,2,8,74,360,50,145,3,9,43,69,11,27,68,16.8,14.2,6.4
2021,SOUTH TABOR,"477,500","510,664",269,23,102,5,5,6,35,1961,0,0,0,"1,896","1,219","6,839",8557,37,"69,222",62,9,4,24,43.2,1.9,12.5,1.8,40.6,33.2,18.8,85.2,14.8,81,2.9,3.4,0.8,7.2,60,1,3,2,16,77,234,78,57,11,12,57,12,19,4,74,14.8,1.5,11.4
2021,SOUTHWEST HILLS*,"871,450","1,006,772",299,45,152,12,8,11,25,1955,0,2,1.32,"3,362","1,695","6,967",2875,45,"140,192",74,7,4,28,63.9,3.9,7.7,0.8,23.7,37.5,41.8,86.9,13.1,86.1,2.8,4.5,0.7,8,13,0,0,4,0,19,117,12,33,1,2,21,168,11,7,30,5.6,9.8,2.8
2021,ST. JOHNS,"399,900","396,569",273,20,273,20,7,9,51,1962,1,1,0.73,"1,455","1,451","13,946",1266,40,"70,968",61,12,4,22,39.8,2.7,12.2,3,42.1,26.5,10.5,78,22,83.1,1.7,3.5,0.2,5.3,197,2,5,6,28,73,297,131,149,3,17,36,"2,180",20,5,77,10,1.3,3.9
2021,SULLIVANS GULCH,"430,000","469,491",272,39,43,23,53,20,23,1952,0,0,0,"1,725","1,285","3,417",10710,39,"66,970",32,10,4,12,34.8,2.1,11.2,1.4,50.5,44,25.2,90.3,9.7,71.1,2.8,5.7,0.4,8.9,40,0,2,2,8,47,189,57,60,0,15,86,5,13,7,90,17,8.2,14.3
