Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2017 (#),Condo sales (%),1-year median price change (2016–2017) (%),5-year median price change (2013–2017) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2018,ALAMEDA,"709,588","685,000",257,23,82,0,1,29,1,1928,"5,622","9,421",41,"105,242",78.4,55,10.6,3.3,0.6,30.4,38.5,33.6,"1,496",6.9,5.1,92.9,36,86.4,0.4,4.2,0.8,5.4,10,0,20,0,61,2,0,31,112,12,22,0,0,13,8.6,12.2,3.3,15.5,0,3,3,1,1.24,65
2018,ARBOR LODGE,"460,602","453,500",240,31,126,2,5,56,0,1943,"7,115","8,199",36,"71,234",68,44.9,11,2.4,1.5,40.1,32.2,18.1,"1,317",8.9,5.3,87.4,30.2,84.8,1.6,4,0.2,5.8,60,3,38,0,311,4,8,59,408,75,68,10,2,15,15.8,12.4,3.7,16.1,1,4,5,6,7.18,72
2018,ARDENWALD-JOHNSON CREEK,"468,461","469,500",217,15,16,0,25,74,0,1965,"2,010","1,975",41,"88,349",79.9,59.7,11.4,4.4,1.4,23.4,28.8,25.3,"1,479",9.2,5.8,92,33.3,86.2,3.2,3.6,0.3,7.1,4,0,4,0,20,1,1,5,29,6,17,37,17,16,6.8,7.2,2.4,9.7,1,5,6,3,7.68,54
2018,ARGAY,"349,725","360,000",157,31,82,9,11,45,1,1967,"6,339","3,088",38,"47,028",46.7,31.4,17.6,4.2,5.6,41.3,10.7,4,889,25,8.6,75.3,34.4,62.8,13.8,4.5,0.8,19.2,75,33,68,0,322,5,4,137,527,117,102,59,5,20,10.8,0.4,13,13.4,0,5,5,6,2.85,45
2018,ARLINGTON HEIGHTS,"1,100,611","920,000",352,36,18,0,6,38,0,1961,"1,897","2,323",51,"107,676",76.9,59.6,10.7,5.9,0.6,23,43,39.9,"1,089",3.2,2.2,87.4,17.4,85,1.8,4.7,1.9,8.4,6,1,3,0,36,1,0,0,39,8,25,329,63,14,6.8,4.2,10.3,14.4,2,4,6,1,1.68,40
2018,ARNOLD CREEK,"612,076","587,500",224,49,58,2,2,38,5,1988,"2,811","2,562",44,"124,401",90,62.6,11.2,2,1.1,23.1,38.2,33.2,"1,738",3.2,3.5,91,33.9,89.9,5.4,1.8,0,7.2,1,0,6,1,13,0,0,0,19,2,7,19,3,18,4.2,1.6,1.9,3.4,0,1,1,0,0.21,17
2018,ASHCREEK,"476,197","443,000",219,29,98,1,-3,36,5,1975,"5,337","4,383",42,"93,686",81.7,56.1,13.6,3.3,0.8,26.5,31.8,30,"1,440",7.5,5.7,91.3,33.4,85.8,2.2,3.5,0.4,6.2,25,0,9,0,48,1,1,4,61,27,16,11,2,16,5,0.1,1.1,1.3,0,7,7,1,1.23,36
2018,BEAUMONT-WILSHIRE,"675,717","597,000",272,23,107,0,6,33,0,1943,"6,178","8,114",41,"103,577",85.1,53.7,9.8,3.9,1.6,30.7,35.3,29.9,"1,487",6.1,4.6,91.6,33.4,86.1,1.2,3.8,0.1,5.1,14,0,24,0,128,3,5,59,211,22,38,14,3,16,6.1,8.2,4.3,12.6,0,3,3,4,5.71,72
2018,BOISE,"551,215","510,750",260,31,44,16,2,34,0,1947,"4,143","9,684",34,"70,682",40.9,29.4,12.2,2,0.7,55.5,39.3,21.3,"1,213",16.5,4.8,91.4,18.3,76.1,1.7,9.1,0.6,11.4,38,0,34,0,153,5,4,30,217,47,64,5,2,12,12.9,16.7,6,22.7,1,5,6,2,4.9,92
2018,BRENTWOOD/ DARLINGTON,"336,129","319,000",245,24,283,1,12,72,2,1965,"13,151","7,504",37,"54,202",66.9,40,16.3,4,1.8,38.1,18.7,7.2,"1,188",16.4,9,73,32.1,85.1,3.5,2.2,0.2,5.8,145,4,75,1,235,9,15,138,448,174,47,48,4,21,10.5,2.6,0.8,3.4,0,4,4,6,3.54,54
2018,BRIDGETON,"302,836","282,500",186,55,22,5,5,29,0,1992,66,245,40,"61,959",67.7,50.6,11.9,3.4,2.4,32,19.2,7,"1,269",5.7,3.9,75.3,27.3,85,1.9,1.1,0.1,3.1,15,0,8,0,71,0,0,20,99,15,"1,727",1,1,16,8.6,1.2,0.6,1.8,0,2,2,3,11.38,30
2018,BRIDLEMILE,"654,672","594,000",255,31,61,0,1,22,2,1973,"4,736","3,375",45,"95,375",74.1,60.8,10,5.9,1.2,22.2,33.3,41.2,996,7.6,7.7,87.6,33.2,87.6,4.2,2.5,1.2,7.9,9,1,7,0,35,1,0,7,49,11,13,32,4,15,3.6,2.5,1.9,4.4,0,5,5,2,1.94,45
2018,BROOKLYN,"475,490","430,000",222,32,39,0,-4,30,0,1919,"7,608","4,432",38,"68,061",49.3,43.1,13.8,2.6,1.6,39.1,31.2,24.8,"1,068",13.3,5.2,92.4,25.1,79.9,3.4,7.2,1,11.6,44,3,25,0,202,2,7,45,272,56,43,67,6,10,13.4,12.6,5.4,17.9,1,8,9,5,2.77,79
2018,BUCKMAN,"518,993","516,500",275,34,53,30,-3,38,0,1936,"7,981","6,917",34,"36,317",13.8,18.6,14.3,2.3,2.6,62.1,37.2,18.9,892,25.7,9.4,91.1,7.1,65.2,5.6,7.9,0.7,14.1,264,26,122,14,"1,063",14,22,187,"1,372",340,215,13,2,9,19.6,14.6,12.2,26.9,2,10,12,9,8.09,90
2018,CATHEDRAL PARK,"361,996","354,000",242,27,84,35,23,41,2,1961,"4,615","4,500",36,"51,134",55.8,38.8,13.6,4,2.2,41.4,28.7,17.4,971,16.5,5.9,83.2,24.2,87.3,1.5,3.6,0.6,5.7,35,0,22,0,129,3,1,41,192,39,50,64,10,19,11.4,2.7,3.5,6.2,0,5,5,2,1.87,79
2018,CENTENNIAL,"275,270","278,000",187,27,363,5,11,70,7,1968,"24,107","7,386",34,"40,558",57.3,43,12.4,6.4,2.7,35.3,9,3.1,939,29.7,11.8,64.1,41.6,83.2,3.4,1.4,1.3,6.1,432,8,180,3,624,23,54,356,"1,160",520,70,80,4,24,9.4,1.1,1.1,2.3,0,3,3,7,2.2,53
2018,COLLINS VIEW,"505,568","500,000",233,32,44,0,17,45,0,1967,"1,344","1,547",30,"105,158",83.5,43.8,7.1,2,0.2,46.8,34.7,39,"1,452",9.2,8.8,87.6,28.9,76.5,3.2,11.6,1,15.8,7,0,3,0,31,4,0,5,39,11,37,2,0,14,5.8,1.8,12.9,14.7,0,4,4,2,1.82,26
2018,CONCORDIA,"518,304","500,993",253,25,160,6,9,40,0,1949,"10,027","7,559",38,"83,269",73.8,44,11.6,2.9,1.4,39.9,35.6,21.9,"1,339",8.6,7.5,89.8,29.1,83.8,1.3,4.6,0.7,6.6,48,1,70,0,185,5,10,81,336,64,40,27,3,17,9.6,7.1,2.5,9.6,0,4,4,3,2.13,76
2018,CRESTON-KENILWORTH,"439,806","420,000",229,26,105,8,-1,47,1,1944,"8,242","10,270",34,"51,593",36.6,31.8,12.5,2,1.4,52.2,30.3,17.8,947,20.7,7.9,86.9,19.2,77.5,4,2.9,0.4,7.4,61,1,54,2,292,8,9,146,492,81,70,23,4,15,20.2,5.9,5.2,11.1,0,7,7,4,5.1,77
2018,CRESTWOOD,"397,028","415,000",246,29,32,0,-1,44,3,1968,"1,488","4,410",42,"97,753",85.4,57.5,13.5,3.3,0.8,25.3,32,31,"1,500",7.3,5.7,92,35,86.5,1.5,3.4,0.4,5.3,0,0,3,0,10,0,0,1,14,0,9,55,25,14,4.7,0,0.9,0.9,0,4,4,0,0,49
2018,CULLY,"374,470","355,500",226,30,144,4,5,56,3,1952,"13,916","4,435",36,"46,833",51,33.8,15.6,2.1,4.1,44.6,15.4,7.9,916,29.8,8.9,69.5,34.4,73.5,8.8,3.7,0.4,12.8,198,8,74,0,273,14,13,167,514,233,54,57,3,19,13.2,3.7,9.6,13.2,0,4,4,4,1.38,56
2018,DOWNTOWN,"477,550","393,500",441,40,154,100,14,21,1,1982,"11,170","11,849",38,"32,829",16.6,18.8,16,3,3.8,58.6,30.4,21.8,997,32.8,14.8,80,3.3,56,10.1,12.2,2.8,25.1,689,14,116,1,"1,975",33,100,126,"2,217",837,273,42,7,0,23.5,4.6,37.4,42,7,31,38,15,15.85,95
2018,DUNTHORPE,"1,664,348","1,500,000",346,71,45,0,9,43,2,1970,"1,811","1,535",30,"104,534",83.1,43.6,7.1,2,0.2,47,34.6,38.8,"1,444",9.2,8.8,87.3,28.8,76.5,3.2,11.6,1,15.8,–,–,–,–,–,–,–,–,–,–,–,7,1,18,5.8,1.8,12.9,14.7,0,2,2,0,0.21,10
2018,EAST COLUMBIA,"330,985","310,000",205,34,27,0,-5,46,7,1983,546,243,40,"61,843",67.5,50.4,12,3.4,2.4,32.1,19.1,7,"1,267",5.8,3.9,75.3,27.4,84.8,2,1.1,0.1,3.3,64,5,26,0,256,2,7,49,331,78,749,146,10,18,8.6,1.2,0.7,1.9,0,2,2,8,3.76,24
2018,EASTMORELAND,"756,770","747,450",258,39,86,0,2,38,3,1943,"6,580","5,924",38,"81,833",70.6,52.4,9.3,4,1.2,33.2,31.6,26.9,"1,459",11.5,6.6,92.1,28.3,79.4,3.4,7.1,0.6,11.1,2,0,38,0,113,2,0,27,178,4,28,17,2,16,7.8,6.8,9.1,15.8,1,4,5,3,2.34,49
2018,ELIOT,"532,227","520,000",255,33,45,7,28,51,0,1949,"3,851","4,556",37,"48,350",24.1,21.7,14.6,6.2,2.3,55,31.8,20,"1,017",23.8,10.5,91.1,12.3,70.3,5.4,8.3,0.4,14.1,114,2,64,0,598,11,19,109,771,146,238,8,1,11,18.6,13.2,12,25.2,3,7,10,7,8.1,84
2018,FAR SOUTHWEST,"456,929","426,750",209,37,36,0,0,23,3,1973,"1,999","3,356",46,"77,732",65.6,54.7,13.9,5.2,0.3,26.3,34.1,29.6,"1,316",6.7,6.3,89.4,23.2,82.6,7.3,2.6,0.9,10.7,13,0,5,0,19,4,0,1,25,17,21,12,3,16,3.6,0.5,3.3,3.8,0,6,6,2,2.97,39
2018,FOREST PARK,"893,061","855,000",238,53,35,0,2,26,0,1987,"3,208",175,45,"111,280",82,61.4,13.9,3.8,1.3,19.6,29.8,30.2,"1,418",6.5,4,89.5,31.6,88.9,2.8,2.8,0.3,6,11,1,15,0,62,1,0,2,79,13,29,"4,827",73,13,1.8,0.7,0.9,1.6,0,3,3,19,1.87,7
2018,FOSTER-POWELL,"388,521","388,450",232,23,160,2,8,67,1,1948,"8,059","9,057",38,"52,532",53.3,38,15.5,5.5,1.8,39.1,28.6,11.9,"1,099",14.3,5.4,81.3,28.1,81.3,1.8,3.1,1.1,6,104,1,65,0,281,4,12,129,475,121,74,7,1,19,11.9,8.3,2.1,10.4,0,5,5,2,1.97,80
2018,GLENFAIR,"307,479","306,000",179,24,26,0,11,77,8,1982,"3,278","10,331",31,"45,377",36.9,42.5,13.4,5.2,2.8,36,13.8,6,973,20.8,9.9,57.8,47.1,82.2,0.7,3.6,0.5,4.8,114,1,31,0,80,8,13,54,165,136,92,5,2,22,13.6,0.5,5.6,6.1,1,1,2,2,5.65,54
2018,GOOSE HOLLOW,"455,567","378,750",369,42,80,93,7,49,0,1984,"5,139","15,154",38,"53,449",28.2,30.7,12.7,2.3,0.9,53.4,34.2,28.8,986,22.7,8.6,86.6,8.1,69.8,3,11.2,1.6,15.8,80,5,64,1,475,6,7,55,594,99,135,3,1,7,15.2,5.5,25.8,31.3,2,10,12,1,3.79,93
2018,GRANT PARK,"712,534","627,500",258,28,54,0,-8,28,2,1927,"4,023","8,816",41,"101,273",74.3,57.6,8.9,3,1,29.6,36.8,34.4,"1,595",5.6,4,92.2,34.3,85.3,0.2,4.8,0.4,5.4,9,5,34,0,97,2,3,45,176,19,48,20,7,13,7.8,12.1,5.4,17.6,0,3,3,2,5.13,79
2018,HAYDEN ISLAND,"314,419","262,250",221,60,92,67,1,27,4,1962,562,175,55,"48,896",83.3,35.7,27.7,9.6,3.8,22.8,22.4,11.6,"1,042",10.9,5.6,91.7,7.6,92.1,1.1,1.9,0,3,56,2,24,0,367,2,20,367,758,80,"1,491",2,0,22,5.4,0.7,8.5,9.3,1,1,2,2,1.15,60
2018,HAYHURST,"478,135","480,000",232,28,95,9,7,45,1,1961,"5,978","5,225",40,"75,545",61.2,47.4,16,7.2,1.4,27.6,32.4,26.3,"1,259",8.6,9,91.8,27.8,80.9,5.9,4.7,0.3,11,17,0,15,0,41,1,0,13,69,18,15,57,8,18,6.7,3.2,4.3,7.5,0,7,7,4,3.28,51
2018,HAZELWOOD,"297,858","304,000",190,31,295,14,14,64,5,1964,"25,183","6,156",37,"43,125",42.7,38.9,14.4,8.4,2.6,36,15.8,6.1,950,20.7,6.3,70.4,30.6,81.6,2.5,2.6,2.5,7.6,461,12,176,3,"1,611",40,84,537,"2,324",600,116,45,2,17,13.7,1.4,3.3,4.7,3,11,14,18,4.37,61
2018,HEALY HEIGHTS,"876,667","910,000",226,49,3,0,-15,-30,0,1949,200,"3,399",42,"100,605",60.5,56,5.1,5.8,0,33,35.1,46.9,"1,199",14.9,9.6,86.6,19.1,78.4,4.5,6.2,0,10.7,0,0,1,0,3,0,0,0,4,0,20,1,3,16,6.3,3,17.2,20.2,0,1,1,0,0,8
