Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2017 (#),Condo sales (%),1-year median price change (2016–2017) (%),5-year median price change (2013–2017) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2018,MADISON SOUTH,"356,122","345,000",211,26,105,4,8,67,6,1957,"9,210","5,241",39,"57,428",63.1,39.3,12.9,4.5,2.7,40.8,23.5,11.3,"1,137",17.8,8.5,82.6,28.4,83.4,1.6,2.5,0.5,4.6,122,6,79,1,264,11,19,118,461,159,67,133,12,15,11.8,6.1,1.6,7.7,3,6,9,4,2.01,56
2018,MAPLEWOOD,"505,593","514,500",222,52,54,9,8,55,4,1976,"2,547","4,112",50,"102,829",74.5,56.7,18,6.6,0.1,18.2,39.2,29.5,"1,075",5.4,4,92.4,22.9,84.4,4.9,2,0.5,7.4,6,0,10,0,28,5,0,2,40,11,20,10,3,17,3.7,1.7,1.1,2.8,0,1,1,4,5.98,33
2018,MARKHAM,"453,967","435,000",221,21,59,7,2,33,0,1967,"1,832","3,529",42,"111,229",84.8,59.5,12.2,2.2,0.6,25.7,39.7,29.8,"1,574",5,5.7,91.1,31.3,84.4,5.4,1.9,2.6,10,6,0,4,0,9,0,0,4,17,6,13,9,3,14,5.6,4,1.7,5.7,0,4,4,0,0.19,40
2018,MARSHALL PARK,"470,129","474,900",217,32,25,0,-12,24,0,1968,"1,358","2,224",40,"119,629",88.6,56.8,9.8,1.9,0.8,30.6,37.2,35.1,"1,659",5,5.1,89.9,32.6,85.8,4.6,4.9,0.3,9.9,1,0,3,0,3,0,0,0,6,1,5,64,16,15,4.8,1.7,5.4,7,0,4,4,0,0,24
2018,MILL PARK,"280,459","280,000",187,25,119,13,6,57,4,1965,"9,454","9,345",34,"37,534",36,36.5,11.3,6.3,3.2,43.1,15.2,6.4,939,27.3,9.3,59.4,31.2,79.8,1.6,2.6,2.5,6.6,151,1,55,0,239,6,19,135,429,177,64,15,2,21,18.5,1.8,3.8,5.6,0,3,3,3,2.84,69
2018,MONTAVILLA,"358,986","356,200",233,23,267,6,9,66,2,1943,"17,048","7,826",37,"54,260",59.5,40.5,14.7,5.3,2.1,37.5,25.9,11.7,"1,060",17.9,10.1,77.6,27.8,78.4,1.9,4.5,0.5,6.9,185,4,195,0,592,11,31,284,"1,071",231,76,20,1,16,14.3,5.4,3.1,8.5,3,6,9,8,3.45,71
2018,MT SCOTT-ARLETA,"373,944","355,000",255,22,193,1,5,61,1,1953,"7,624","8,826",38,"53,426",56.9,40.6,12,3.8,2.5,41.3,21.5,12,"1,071",14.6,6.7,81.9,26.2,84,2.3,2.7,0.5,5.5,81,2,56,1,245,7,10,116,417,101,68,11,2,21,10.5,5.7,1.8,7.6,0,5,5,2,2.88,72
2018,MT TABOR,"582,016","552,400",256,26,144,3,3,44,1,1945,"11,070","6,927",43,"69,724",64.9,46.9,13.5,6.5,1.3,31.8,31.3,25.9,"1,003",7.5,5.5,87.8,22.4,84.6,2,5.1,0.5,7.6,37,0,73,0,265,2,8,112,450,47,45,178,17,19,11.3,7.5,3.1,10.5,0,5,5,7,4.56,69
2018,MULTNOMAH,"443,538","425,000",246,26,159,30,9,41,1,1970,"8,348","5,786",37,"59,557",51.3,45.7,14.7,2.1,0,37.4,37.3,24.6,996,12.8,7.1,89.7,24.6,74.9,7.4,7,0.6,15,62,0,39,0,145,5,4,41,225,71,35,104,11,12,12.2,1.1,3,4.1,0,10,10,8,5.43,64
2018,NORTH TABOR,"483,319","456,000",246,21,66,6,9,39,0,1948,"5,574","9,524",38,"59,641",49.2,36.3,14.5,4.4,1.5,43.5,30.7,17.1,879,13.6,10,91.2,21.9,82.3,1.8,3.1,2,6.9,50,0,38,0,229,7,7,97,364,64,77,2,1,13,14.9,12,4.9,16.9,3,4,7,2,3.5,74
2018,NORTHWEST DISTRICT,"601,488","497,300",396,33,185,75,-11,40,1,1946,"14,914","10,194",36,"67,565",33.7,32.5,15.4,2.8,1.3,47.2,39.6,31.8,"1,130",10.8,4,86.3,11.9,68,4.7,7.2,1.6,13.6,165,8,123,0,925,25,20,120,"1,168",218,93,17,2,10,11.5,6.2,15.7,21.9,1,5,6,11,7.23,93
2018,NORTHWEST HEIGHTS,"700,323","699,900",236,43,155,24,11,26,1,1987,"1,108",808,43,"135,612",78.8,65.1,9.3,4.4,1.2,19.5,34.9,38.6,"1,532",5.9,4.4,79.3,36.6,89.2,5.2,1.1,0.8,7.1,2,0,7,0,17,0,0,1,25,2,24,3,0,20,2.9,0.4,1.3,1.7,0,0,0,0,0,16
2018,OLD TOWN/ CHINATOWN,"314,973","297,000",394,40,43,98,11,56,9,1986,"3,353","11,947",45,"47,638",24.1,26.2,20.2,3.1,4,46.6,31.7,25,900,26.5,10.4,88.5,3.2,65.4,5,6.8,1.7,13.5,502,19,29,2,692,29,52,64,785,604,414,12,7,3,19.1,5.3,25.6,30.9,7,16,23,5,16.89,96
2018,OVERLOOK,"441,999","444,500",244,26,112,28,-6,50,1,1954,"7,057","2,216",36,"69,232",56,39.6,11.5,2.2,1.9,44.7,32.3,21.4,"1,165",15.3,6.3,87.6,23.1,79.4,2.6,5.1,0.7,8.4,62,7,38,0,191,7,11,78,307,87,56,78,4,12,13.3,12.3,5,17.3,1,4,5,11,3.47,72
2018,PARKROSE,"297,797","305,000",178,28,83,7,11,66,5,1953,"5,491","2,733",38,"44,380",46.4,32,17.2,2.8,4.9,43.2,13.7,5.8,886,22.3,7.1,71.6,34,65.6,13.9,4.4,1.4,19.7,162,4,73,0,439,9,21,180,692,196,162,3,0,18,11.9,0.6,13.3,13.9,1,6,7,8,4.04,57
2018,PARKROSE HEIGHTS,"309,506","310,000",204,25,97,0,12,66,7,1955,"5,870","6,029",40,"45,931",59.1,43.9,12.9,7,1.7,34.4,16.9,7.9,965,13.1,4.5,77.1,27.8,82.7,2.4,2.9,0,5.4,64,0,27,0,109,1,3,69,205,68,47,14,2,16,10.2,0.2,2.4,2.6,0,6,6,3,3.36,54
